	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Sult1b1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ino80dos	8.417	5.154	5.675	6.892	3.813	3.769	5.252	1.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htra4	0	0.175	0.185	0.142	3.102	2.036	1.309	4.447	0	0	0.271	0.083	0	0	0.261	0.079	1.137	5.356	2.565	2.599	2.691	2.117	4.997	6.992	4.732	6.039
Foxf1	0.298	0.157	0.443	0.829	0.883	0.537	1.467	1.302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srp72	46.46	42.502	59.493	51.884	44.836	40.825	48.152	41.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurkb	3.158	3.831	6.375	5.21	0.284	0.665	1.09	0.504	3.126	4.692	1.429	0.917	1.546	2.251	3.265	2.382	0	0.922	0	0.808	0	0	0	0.66	0	0
5730408K05Rik	0.806	0	0	0.403	0.414	0.679	0	0	0	0	0	0	0	1.189	0	0	0	0	0	0	0	0	0	0	0	0
Mark4	40.32	43.503	69.311	72.923	33.184	27.137	36.84	32.779	10.13	7.833	10.369	9.843	9.816	7.517	10	9.388	4.496	2.325	7.993	7.348	4.389	4.184	2.586	7.418	6.826	3.791
Fkbp10	0	0.098	0.104	0.119	0	0.1	0.343	0.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat5b	27.153	25.999	31.315	31.017	17.643	16.733	17.063	13.922	0.901	0.695	0.421	0.754	0.674	0.667	0.515	0.725	0	0	0	0.086	0.088	0	0	0	0.08	0.138
Olfr366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab33b	8.843	9.846	9.545	8.099	7.079	8.843	7.116	8.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unkl	3.344	3.14	3.765	4.238	1.976	1.417	2.457	2.271	6.37	8.686	8.972	9.023	7.604	7.826	7.701	7.917	5.172	6.637	4.667	5.533	3.351	5.336	4.821	1.895	4.173	2.626
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0	0
Pex3	8.902	10.148	10.597	11.056	4.498	6.585	3.723	4.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn4	12.279	9.524	9.561	9.491	13.833	15.664	5.023	8.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf5	10.007	10.467	8.624	7.208	15.062	10.653	7.447	5.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h11a	55.371	60.804	59.96	58.839	60.476	60.028	62.381	85.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmed8	5.827	4.355	6.223	5.552	1.966	1.993	1.411	1.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcgf5	5.977	7.542	9.304	5.975	10.944	12.491	9.837	19.063	5.362	5.384	3.534	3.95	7.623	6.382	4.071	3.453	11.255	16.453	27.979	19.876	7.798	11.114	17.473	22.842	19.164	6.248
Arhgap33os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomm5	4.685	3.355	6.494	4.532	3.14	3.435	4.171	4.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a23	25.423	23.788	23.912	24.565	1.206	2.791	1.252	1.358	25.782	16.504	33.527	35.848	32.679	19.608	37.335	37.817	1.582	0.289	1.032	1.374	0.788	3.804	0.15	1.682	1.814	1.547
Efnb1	11.025	11.023	9.678	7.967	0.284	0.388	0.371	0.353	6.305	2.784	6.32	6.154	0.351	0	0	0.103	0	0	2.491	0	0	0	0	0	0	0
Marc2	30.275	26.025	29.122	29.825	22.791	20.536	22.276	23.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a5	212.291	188.39	184.34	193.584	197.9	188.514	180.439	133.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp35	5.013	6.65	5.42	4.681	12.083	15.765	9.302	12.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp46a1	2.233	0.879	0.681	0.57	0.037	0.24	0.082	0.546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Try10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lats1	16.983	16.226	20.498	18.077	23.545	22.436	23.656	27.306	0.436	0.637	0.796	0.871	0.35	0.864	1.142	1.101	0.057	0.64	1.617	0.689	0.043	0.823	1.79	1.815	0.873	0.759
Pcdhgb4	4.485	4.823	3.025	2.207	2.832	2.963	3.691	2.685	3.474	1.767	2.005	2.164	3.603	1.662	2.061	1.966	2.022	1.836	0.505	1.059	1.134	2.053	1.63	0.469	0.984	1.384
Zfp982	0.333	0.308	0.108	0.125	0.256	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eng	33.021	33.27	15	10.198	69.286	49.259	13.631	12.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pon3	46.609	41.884	40.137	36.904	29.794	23.453	22.231	21.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Impa2	0.972	1.015	1.364	2.467	0	0	0.645	0.716	0.127	1.724	2.245	1.043	1.464	1.434	2.68	1.504	0	0	0	0	0	0	3.533	1.642	0	0.942
Mug-ps1	0.066	0.055	0.058	0	0.102	0	0.344	0.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minos1	12.612	15.703	9.885	10.612	11.288	11.681	8.253	4.237	50.247	46.051	47.292	50.981	44.318	42.326	42.883	38.159	30.252	32.254	29.598	28.509	32.298	30.657	31.962	25.175	26.646	30.04
Olfr1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem41b	2.11	2.321	2.896	2.779	1.667	0.864	0.984	0.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retnlb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mark2	42.193	41.165	42.999	47.75	63.371	62.062	65.146	70.862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930480K15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il20ra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbms2	22.12	20.806	19.824	17.625	19.845	22.475	20.689	21.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2b1	26.822	30.404	31.786	28.818	12.468	9.905	13.429	10.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb8	9.897	9.384	10.687	10.562	2.9	2.935	2.917	2.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl18	14.578	17.05	17.719	16.679	19.197	17.998	13.041	13.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igdcc4	0	0.041	0.065	0.025	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd2bp2	14.092	15.148	19.471	19.888	27.738	22.949	24.206	18.331	4.48	3.869	4.739	6.259	6.713	4.663	5.374	7.459	5.827	6.396	3.113	2.624	5.044	5.538	4.797	3.756	4.439	4.812
Tubb4a	0.185	0.057	0.241	0.139	0.463	0.702	0.4	0.62	0.157	0	0	0	0.151	0	0	0.155	0	0	0.861	0	0	0	0	1.235	0	0
Nrxn1	0.103	0.085	0.403	0.086	0.291	0.087	0.178	0.11	0.194	0.07	0.573	0.24	0.243	0.017	0.332	0.442	0	0.045	0.29	0	0.24	1.001	0	0.234	0.373	0.305
Arid5b	13.8	10.762	20.572	20.452	13.588	18.729	20.084	33.877	35.844	28.827	32.453	37.25	23.229	28.882	26.487	28.125	66.929	43.053	47.145	44.236	19.478	44.747	42.756	37.668	37.543	19.535
Ran	18.605	21.5	11.408	10.969	31.519	23.947	21.58	16.678	64.9	53.222	65.761	61.455	62.334	51.073	63.667	59.927	70.008	82.384	73.105	65.619	71.487	65.161	76.868	67.918	60.961	66.978
2610306M01Rik	2.092	1.597	1.557	1.494	0.153	0.252	0	0	0	0.612	0.712	0.347	0.163	3.085	0.961	2.003	0	0	0	0	0	0	0	0	0	0
Klhl41	0.081	0.1	0.159	0.488	0	0	0	0	0	0.188	0.233	0.284	0.664	0.12	0.112	0.409	0	0	0.962	0.178	0	0	0	0	0.414	0
Eif2s2	15.342	18.062	12.641	14.433	29.659	27.422	19.585	28.1	46.553	40.452	53.022	46.23	36.644	30.023	37.358	35.908	75.93	69.515	56.024	60.492	55.348	28.453	53.278	26.578	28.392	34.476
Btbd35f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s1	18.277	18.423	16.507	16.502	38.036	36.973	25.315	19.368	5.224	5.738	8.332	5.593	5.718	4.299	5.101	4.391	4.646	5.74	6.531	2.943	2.152	3.106	3.392	2.26	3.668	1.467
Olfr1412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccpg1	60.643	62.224	54.869	57.528	24.552	28.725	22.353	14.748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgmb	18.17	17.244	23.305	17.322	5.846	6.626	6.351	7.044	8.771	7.582	7.667	6.278	9.84	5.948	6.315	8.924	0.078	0.305	0	0.944	1.871	2.986	0.783	3.194	1.116	2.63
Tssk5	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa1	25.306	28.613	19.224	18.973	26.615	40.474	28.015	19.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zhx3	1.633	2.014	2.516	3.104	0.478	0.813	0.317	0.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp26c1	0.598	0.164	1.038	0.1	0.102	0	0.344	0.127	0.338	0.51	1.139	0	0.325	0.196	0.458	0	0.929	3.878	0	0.582	1.785	1.728	0	1.77	0.676	0
Cdk2ap2	241.757	210.116	150.011	168.811	124.527	92.755	80.435	63.977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D130043K22Rik	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf7l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb8	10.415	13.844	13.811	13.549	13.98	10.929	11.897	5.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reck	0.35	0.345	0.122	0.07	0.018	0.471	0.161	0.179	0.04	0	0.267	0.203	0.038	0	0.289	0	0	0	0	0	0.314	0	0.17	0.293	0	0.294
Homer3	15.354	22.07	16.029	14.461	18.977	14.527	16.857	13.599	37.825	35.229	40.743	37.738	37.408	35.615	43.023	36.218	27.718	45.873	39.743	46.818	25.079	32.799	34.195	38.742	44.356	24.74
Rab11fip4os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d5	28.834	28.117	42.833	38.163	17.64	20.811	30.789	24.508	118.289	97.898	120.062	126.421	117.784	102.905	130.202	133.76	65.639	63.864	73.629	82.497	42.004	75.607	66.429	81.771	67.713	42.053
Rnf133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc51	2.41	3.292	2.859	2.582	2.584	1.739	1.114	1.647	2.264	2.381	4.552	2.85	2.669	3.554	2.966	3.173	2.752	1.006	2.546	0.377	0.064	0	2.971	2.295	1.84	0.964
Btbd10	5.892	4.43	6.307	6.112	6.274	5.198	5.918	5.174	12.463	9.55	11.766	15.964	14.026	9.581	10.791	12.105	4.193	13.437	9.139	7.165	8.499	4.353	8.505	10.57	9.039	7.398
Zfp93	0.411	0.543	0.88	0.705	0	0.148	0.152	0	0	0.09	0	0	0.24	0.087	0.121	0	0	0	0	0	0	0	0	0	0	0
Rap1gap	7.503	9.324	7	8.732	1.465	0.848	1.159	0.857	16.626	8.088	29.127	18.928	10.05	5.367	21.607	15.48	8.613	10.902	2.365	2.7	4.432	6.768	5.086	0	1.368	5.249
Skint6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrcc1	5.078	4.625	5.902	4.613	4.3	2.988	2.324	1.916	0.309	1.119	0.91	0.888	0.683	0.51	0.677	0.823	0.655	0	0.246	0.199	0	0.068	0	0.228	0	0.229
Orai2	12.181	10.633	16.491	15.897	68.03	52.735	58.89	39.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldhd	0.233	0.402	0.486	1.188	0.681	0.824	0.241	2.051	0.949	0.573	0.333	0.487	1.065	0.687	0.257	0.781	0.838	1.089	0	1.124	0.766	0.78	0.677	0.731	0.949	0.717
Ttll13	0.585	0.551	0.224	0.206	0	0	0	0	0.467	0.37	0.344	0.599	0.337	0.051	0.095	0	0	0	0	0	0	0	0	0	0	0
Mybpc1	0.053	0.195	4.87	6.871	0.182	0.931	0.182	0.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkx1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdnep1	142.498	130.659	107.532	119.393	171.527	117.468	161.939	113.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata9	0.394	0	0.512	0.295	0	0.248	0	0	0	0	0	0	0	0	0	0.495	0	0	0	0	0	0	0	0	0	0
Gdf6	0	0	0.152	0.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat2	4.911	5.105	6.852	7.048	8.206	8.149	5.688	6.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3h1	5.225	5.384	4.647	4.157	1.986	0.966	1.044	1.037	8.812	9.107	12.112	9.994	10.501	7.846	11.461	7.955	1.018	0.869	1.454	2.863	2.046	2.429	3.357	0.7	2.4	1.56
Gm6034	0.822	1.481	0.082	0.095	1.022	0.479	0	0.363	1.18	0.583	2.71	1.212	1.341	0.093	0	0.212	1.768	0	5.021	0	0	0	0	0.397	0.129	0
Zfp11	0.579	0.844	0.959	1.342	0.83	0.665	0.726	0.403	1.429	0.768	0.338	0.55	1.03	0.194	0.471	0.309	0	0	1.467	0.173	0	0	0.574	0	0.482	0
Fam241b	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D1Ertd622e	46.391	51.417	41.779	43.365	42.945	75.979	51.971	122.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d19	7.569	6.526	5.029	4.459	1.605	1.56	3.065	1.921	0.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930591E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933411G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	44.214	40.746	29.12	28.577	161.914	168.125	166.587	133.236	0	0	0	0	0	0	0	0	0	10.885	19.753	26.733	27.324	10.395	23.543	13.151	26.388	10.667
Nup210	0.839	0.418	0.402	0.993	0.408	0.669	0.762	0.676	0.15	0.136	0.105	0.026	0.144	0.13	0.101	0.025	0	0	0	0.065	0.066	0	0	0	0.06	0.062
Polr3gl	15.179	14.512	20.713	16.989	3.074	3.852	5.012	4.586	56.072	49.551	48.056	51.002	60.555	49.693	51.349	58.657	11.753	14.424	14.851	9.233	17.788	10.669	13.194	14.808	16.119	17.784
Eif4ebp2	88.408	83.818	106.477	112.293	18.632	17.948	20.337	17.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Impdh1	49.426	47.762	41.149	37.535	21.04	21.406	21.696	17.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc36a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmo	1.692	2.434	4.59	4.862	1.953	1.068	1.094	1.619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt9	37.845	42.484	38.071	39.777	27.414	23.499	21.804	29.899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm7	0	0	0.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6981	0	0.087	0.092	0.211	0	0	0.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss50	0.071	0	0	0	0	0.359	0	0	0.362	0.328	0.203	0	0.348	0.314	0.196	0.834	0	0	0	0	0	0	0	0	0	2.586
Prr22	1.377	1.321	1.993	0.459	0.353	0.386	0.132	0.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strada	16.365	15.918	20.357	19.29	4.167	3.495	3.652	2.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poc5	6.479	4.627	6.528	6.852	3.516	3.875	1.53	1.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36738	10.996	10.433	4.773	6.342	3.038	3.56	2.919	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700089I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo10	5.768	4.423	4.785	5.043	0.891	0.675	0.884	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11651	0.249	0	0.108	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spic	71.719	78.163	71.327	90.356	701.179	687.037	899.033	1039.832	317.158	208.841	276.364	263.929	282.939	199.925	251.286	245.426	2112.957	1710.457	2041.967	2288.437	2046.723	2078.411	1614.371	2102.597	2320.537	2012.948
Mfsd4b5	0.173	0.171	0.27	0	0.027	0.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtf1	9.389	10.164	10.995	10.149	8.182	7.949	7.085	7.911	8.367	8.947	10.309	7.886	6.987	8.964	9.849	8.421	5.479	3.682	6.164	7.935	5.488	7.285	3.804	4.894	6.684	4.385
Themis3	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtpn	127.441	117.158	126.812	113.138	156.844	149.97	149.568	132.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700046A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vcpip1	18.462	21.456	22.309	20.588	19.986	26.698	30.083	47.375	25.502	21.829	22.701	20.373	21.128	18.05	26.594	21.449	27.895	28.399	33.644	35.603	20.458	27.26	22.43	34.47	35.097	21.636
Lgr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spx	0.337	0.249	0.263	0.303	0.259	0.17	1.162	0.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cript	34.216	32.607	26.711	23.068	34.155	31.481	18.761	15.058	87.912	87.358	72.147	82.886	88.143	79.528	99.431	79.555	63.942	81.425	66.038	92.433	83.318	52.445	83.361	53.385	72.01	56.537
Gm30790	0.108	0	0.421	0	0	0.272	0	1.445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810021J22Rik	3.286	3.82	2.085	1.864	0.762	0.958	0.618	0.081	6.006	5.309	6.142	5.58	2.716	2.951	3.6	3.177	0.463	1.887	0.285	0.554	1.605	0	1.263	1.322	0.472	1.091
Lincred1	0	0	0.027	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem68	16.016	18.128	18.614	18.3	12.607	19.529	9.864	15.149	47.636	40.718	40.54	43.81	49.634	44.748	45.308	48.515	38.807	41.032	46.389	37.111	39.19	43.821	34.289	36.327	35.074	32.924
Plod3	110.053	96.773	64.725	67.896	69.933	55.057	34.343	36.703	129.856	122.113	124.36	137.153	106	110.846	118.885	122.992	119.057	72.411	95.579	101.665	64.178	89.603	57.46	75.572	77.012	53.454
Haspin	1.246	2.079	3.293	2.638	0.846	0.278	0.379	0.281	3.545	3.492	4.609	3.257	4.365	4.918	7.274	6.203	1.098	0	0.867	0.964	0	0	0	1.437	0.97	0.974
9330162B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1418	0	0	0	0	0	0	0	0	0.731	1.656	0.924	0	0	0	0	0	0	0	0	2.598	1.931	0	0	0	1.536	0
Phyh	87.085	92.84	60.551	58.119	46.663	59.509	48.907	75.113	151.23	120.2	129.18	134.343	141.291	129.35	108.873	133.899	95.283	79.028	87.609	60.591	86.356	97.843	89.71	86.052	63.738	99.414
Morc3	26.247	28.775	34.31	31.531	30.194	40.482	36.79	74.987	35.261	36.95	41.471	37.375	37.701	36.407	42.926	38.385	64.795	39.064	65.049	58.505	51.245	68.589	45.167	73.679	69.413	47.528
4930502E18Rik	0.258	0.318	0.112	0.258	0	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930432M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flot1	29.911	23.891	27.937	28.4	50.801	38.078	54.988	55.363	0	0	0	0.214	0.3	0	0	0.411	0	0	0	0	0	0	0	0	0	0
Gm15881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn5	14.003	8.374	8.62	8.568	4.071	3.286	2.245	2.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37065	0	0	0.763	0.586	0	0	0	0.374	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0
Fam189b	2.233	1.81	3.407	2.679	0.295	0.322	0.55	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clta	281.08	339.27	249.913	272.347	230.087	237.503	208.59	184.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tppp3	1.314	1.746	1.053	1.213	1.4	2.553	0.872	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tslp	2.904	3.918	3.782	2.994	16.133	17.417	8.455	11.636	12.935	6.833	16.99	9.805	27.542	9.769	21.888	19.769	35.536	27.212	55.823	58.28	29.682	57.039	62.155	58.213	61.165	64.382
Gm19276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urml	0	0.259	0	0.315	0	0.177	0.726	1.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf6	95.349	88.477	95.343	80.561	78.346	84.768	67.797	57.945	46.642	37.323	36.29	41.157	40.532	37.874	36.04	33.436	24.291	33.868	16.074	17.277	23.415	16.443	23.727	15.054	15.636	18.072
Fxr1	39.273	49.267	43.936	42.762	42.346	44.066	37.265	42.872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cachd1	0.021	0.026	0.163	0.063	0	0	0	0	0.071	0.192	0	0.218	0	0.184	0.287	0.105	0	0	0.106	0.457	0	0	0	0	0.17	0
Clca4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gp9	0.128	0	0.498	0.191	0	0.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
